Crop,Season,State,Area,Production,Annual_Rainfall
Arecanut,Whole Year,Assam,73814.0,56708,High
Arhar/Tur,Kharif,Assam,6637.0,4685,High
Castor seed,Kharif,Assam,796.0,22,High
Cotton(lint),Kharif,Assam,1739.0,794,High
Dry chillies,Whole Year,Assam,13587.0,9073,High
Gram,Rabi,Assam,2979.0,1507,High
Jute,Kharif,Assam,94520.0,904095,High
Linseed,Rabi,Assam,10098.0,5158,High
Maize,Kharif,Assam,19216.0,14721,High
Mesta,Kharif,Assam,5915.0,29003,High
Niger seed,Whole Year,Assam,9914.0,5076,High
Onion,Whole Year,Assam,7832.0,17943,High
Other  Rabi pulses,Rabi,Assam,108297.0,58272,High
Potato,Whole Year,Assam,75259.0,671871,High
Rapeseed &Mustard,Rabi,Assam,279292.0,154772,High
Rice,Autumn,Assam,607358.0,398311,High
Rice,Summer,Assam,174974.0,209623,High
Rice,Winter,Assam,1743321.0,1647296,High
Sesamum,Whole Year,Assam,15765.0,8257,High
Small millets,Kharif,Assam,10490.0,5391,High
Sugarcane,Kharif,Assam,31318.0,1287451,High
Sweet potato,Whole Year,Assam,9380.0,32618,High
Tapioca,Whole Year,Assam,2465.0,11728,High
Tobacco,Whole Year,Assam,433.0,26,High
Turmeric,Whole Year,Assam,10071.0,6974,High
Wheat,Rabi,Assam,84698.0,110054,High
Arecanut,Whole Year,Karnataka,93100.0,133342,Mid
Arhar/Tur,Kharif,Karnataka,421810.0,98473,Mid
Bajra,Kharif,Karnataka,301149.0,132056,Mid
Bajra,Summer,Karnataka,820.0,662,Mid
Black pepper,Kharif,Karnataka,3825.0,924,Mid
Cardamom,Whole Year,Karnataka,21230.0,1214,Mid
Coriander,Whole Year,Karnataka,17317.0,2853,Mid
Dry chillies,Kharif,Karnataka,186579.0,139206,Mid
Dry chillies,Rabi,Karnataka,4565.0,7895,Mid
Garlic,Whole Year,Karnataka,5061.0,3799,Mid
Ginger,Kharif,Karnataka,3619.0,4745,Mid
Groundnut,Kharif,Karnataka,847666.0,525562,Mid
Groundnut,Rabi,Karnataka,192416.0,181071,Mid
Horse-gram,Kharif,Karnataka,178872.0,80124,Mid
Horse-gram,Rabi,Karnataka,163173.0,82572,Mid
Jowar,Kharif,Karnataka,389690.0,516093,Mid
Jowar,Rabi,Karnataka,1501172.0,722773,Mid
Jowar,Summer,Karnataka,6137.0,15135,Mid
Maize,Kharif,Karnataka,502797.0,1391132,Mid
Maize,Rabi,Karnataka,48844.0,98932,Mid
Maize,Summer,Karnataka,9730.0,20893,Mid
Ragi,Kharif,Karnataka,897921.0,1214282,Mid
Ragi,Rabi,Karnataka,27104.0,33696,Mid
Ragi,Summer,Karnataka,13521.0,25035,Mid
Rice,Kharif,Karnataka,1031530.0,2340493,Mid
Rice,Rabi,Karnataka,53889.0,109350,Mid
Rice,Summer,Karnataka,268044.0,762759,Mid
Sugarcane,Whole Year,Karnataka,308857.0,28999269,Mid
Turmeric,Whole Year,Karnataka,4342.0,24108,Mid
Wheat,Rabi,Karnataka,250698.0,118512,Mid
Arecanut,Whole Year,Kerala,76145.0,93995,High
Black pepper,Whole Year,Kerala,173855.0,55520,High
Cashewnut,Whole Year,Kerala,96073.0,74142,High
Tapioca,Whole Year,Kerala,132875.0,2841819,High
Arecanut,Whole Year,Meghalaya,9569.0,12116,High
Arhar/Tur,Kharif,Meghalaya,865.0,683,High
Banana,Whole Year,Meghalaya,5239.0,63011,High
Castor seed,Rabi,Meghalaya,30.0,15,High
Cotton(lint),Kharif,Meghalaya,7544.0,5590,High
Dry chillies,Whole Year,Meghalaya,1766.0,1106,High
Ginger,Kharif,Meghalaya,7357.0,45260,High
Gram,Rabi,Meghalaya,443.0,270,High
Jute,Kharif,Meghalaya,4243.0,34683,High
Linseed,Kharif,Meghalaya,50.0,22,High
Maize,Kharif,Meghalaya,17175.0,24878,High
Mesta,Kharif,Meghalaya,4688.0,21558,High
Mesta,Whole Year,Meghalaya,861.0,713,High
Other  Rabi pulses,Rabi,Meghalaya,1909.0,1511,High
Potato,Whole Year,Meghalaya,20764.0,200509,High
