Crop,Season,State,Area,Production,Annual_Rainfall
Arecanut,Whole Year ,Assam,73814.0,56708,2051.4
Arhar/Tur,Kharif     ,Assam,6637.0,4685,2051.4
Castor seed,Kharif     ,Assam,796.0,22,2051.4
Coconut ,Whole Year ,Assam,19656.0,126905000,2051.4
Cotton(lint),Kharif     ,Assam,1739.0,794,2051.4
Dry chillies,Whole Year ,Assam,13587.0,9073,2051.4
Gram,Rabi       ,Assam,2979.0,1507,2051.4
Jute,Kharif     ,Assam,94520.0,904095,2051.4
Linseed,Rabi       ,Assam,10098.0,5158,2051.4
Maize,Kharif     ,Assam,19216.0,14721,2051.4
Mesta,Kharif     ,Assam,5915.0,29003,2051.4
Niger seed,Whole Year ,Assam,9914.0,5076,2051.4
Onion,Whole Year ,Assam,7832.0,17943,2051.4
Other  Rabi pulses,Rabi       ,Assam,108297.0,58272,2051.4
Potato,Whole Year ,Assam,75259.0,671871,2051.4
Rapeseed &Mustard,Rabi       ,Assam,279292.0,154772,2051.4
Rice,Autumn     ,Assam,607358.0,398311,2051.4
Rice,Summer     ,Assam,174974.0,209623,2051.4
Rice,Winter     ,Assam,1743321.0,1647296,2051.4
Sesamum,Whole Year ,Assam,15765.0,8257,2051.4
Small millets,Kharif     ,Assam,10490.0,5391,2051.4
Sugarcane,Kharif     ,Assam,31318.0,1287451,2051.4
Sweet potato,Whole Year ,Assam,9380.0,32618,2051.4
Tapioca,Whole Year ,Assam,2465.0,11728,2051.4
Tobacco,Whole Year ,Assam,433.0,26,2051.4
Turmeric,Whole Year ,Assam,10071.0,6974,2051.4
Wheat,Rabi       ,Assam,84698.0,110054,2051.4
Arecanut,Whole Year ,Karnataka,93100.0,133342,1266.7
Arhar/Tur,Kharif     ,Karnataka,421810.0,98473,1266.7
Bajra,Kharif     ,Karnataka,301149.0,132056,1266.7
Bajra,Summer     ,Karnataka,820.0,662,1266.7
Black pepper,Kharif     ,Karnataka,3825.0,924,1266.7
Cardamom,Whole Year ,Karnataka,21230.0,1214,1266.7
Coriander,Whole Year ,Karnataka,17317.0,2853,1266.7
Dry chillies,Kharif     ,Karnataka,186579.0,139206,1266.7
Dry chillies,Rabi       ,Karnataka,4565.0,7895,1266.7
Garlic,Whole Year ,Karnataka,5061.0,3799,1266.7
Ginger,Kharif     ,Karnataka,3619.0,4745,1266.7
Groundnut,Kharif     ,Karnataka,847666.0,525562,1266.7
Groundnut,Rabi       ,Karnataka,192416.0,181071,1266.7
Horse-gram,Kharif     ,Karnataka,178872.0,80124,1266.7
Horse-gram,Rabi       ,Karnataka,163173.0,82572,1266.7
Jowar,Kharif     ,Karnataka,389690.0,516093,1266.7
Jowar,Rabi       ,Karnataka,1501172.0,722773,1266.7
Jowar,Summer     ,Karnataka,6137.0,15135,1266.7
Maize,Kharif     ,Karnataka,502797.0,1391132,1266.7
Maize,Rabi       ,Karnataka,48844.0,98932,1266.7
Maize,Summer     ,Karnataka,9730.0,20893,1266.7
Ragi,Kharif     ,Karnataka,897921.0,1214282,1266.7
Ragi,Rabi       ,Karnataka,27104.0,33696,1266.7
Ragi,Summer     ,Karnataka,13521.0,25035,1266.7
Rice,Kharif     ,Karnataka,1031530.0,2340493,1266.7
Rice,Rabi       ,Karnataka,53889.0,109350,1266.7
Rice,Summer     ,Karnataka,268044.0,762759,1266.7
Sugarcane,Whole Year ,Karnataka,308857.0,28999269,1266.7
Turmeric,Whole Year ,Karnataka,4342.0,24108,1266.7
Wheat,Rabi       ,Karnataka,250698.0,118512,1266.7
Arecanut,Whole Year ,Kerala,76145.0,93995,3252.4
Black pepper,Whole Year ,Kerala,173855.0,55520,3252.4
Cashewnut,Whole Year ,Kerala,96073.0,74142,3252.4
Coconut ,Whole Year ,Kerala,884344.0,5210000000,3252.4
Tapioca,Whole Year ,Kerala,132875.0,2841819,3252.4
Arecanut,Whole Year ,Meghalaya,9569.0,12116,3818.2
Arhar/Tur,Kharif     ,Meghalaya,865.0,683,3818.2
Banana,Whole Year ,Meghalaya,5239.0,63011,3818.2
Castor seed,Rabi       ,Meghalaya,30.0,15,3818.2
Cotton(lint),Kharif     ,Meghalaya,7544.0,5590,3818.2
Dry chillies,Whole Year ,Meghalaya,1766.0,1106,3818.2
Ginger,Kharif     ,Meghalaya,7357.0,45260,3818.2
Gram,Rabi       ,Meghalaya,443.0,270,3818.2
Jute,Kharif     ,Meghalaya,4243.0,34683,3818.2
Linseed,Kharif     ,Meghalaya,50.0,22,3818.2
Maize,Kharif     ,Meghalaya,17175.0,24878,3818.2
Mesta,Kharif     ,Meghalaya,4688.0,21558,3818.2
Mesta,Whole Year ,Meghalaya,861.0,713,3818.2
Other  Rabi pulses,Rabi       ,Meghalaya,1909.0,1511,3818.2
Potato,Whole Year ,Meghalaya,20764.0,200509,3818.2
Rapeseed &Mustard,Rabi       ,Meghalaya,6914.0,4467,3818.2
Rice,Kharif     ,Meghalaya,105170.0,150101,3818.2
Sesamum,Kharif     ,Meghalaya,1326.0,688,3818.2
Small millets,Kharif     ,Meghalaya,2804.0,2237,3818.2
Soyabean,Kharif     ,Meghalaya,898.0,814,3818.2
Sugarcane,Whole Year ,Meghalaya,82.0,225,3818.2
Sweet potato,Whole Year ,Meghalaya,5212.0,16978,3818.2
Tapioca,Whole Year ,Meghalaya,3959.0,21087,3818.2
Tobacco,Rabi       ,Meghalaya,742.0,505,3818.2
Turmeric,Whole Year ,Meghalaya,1401.0,7126,3818.2
Wheat,Rabi       ,Meghalaya,4287.0,6894,3818.2
Arecanut,Whole Year ,West Bengal,8058.0,12423,1852.9
Arhar/Tur,Whole Year ,West Bengal,3630.0,2181,1852.9
Bajra,Kharif     ,West Bengal,207.0,95,1852.9
Barley,Whole Year ,West Bengal,6116.0,5034,1852.9
Cardamom,Whole Year ,West Bengal,2674.0,7,1852.9
Castor seed,Whole Year ,West Bengal,660.0,46,1852.9
Coconut ,Whole Year ,West Bengal,24273.0,306202300,1852.9
Cotton(lint),Kharif     ,West Bengal,26000.0,52000,1852.9
Dry chillies,Whole Year ,West Bengal,64034.0,55569,1852.9
Gram,Rabi       ,West Bengal,25485.0,16994,1852.9
Groundnut,Whole Year ,West Bengal,29615.0,38672,1852.9
Horse-gram,Kharif     ,West Bengal,5645.0,2556,1852.9
Jowar,Whole Year ,West Bengal,948.0,450,1852.9
Jute,Kharif     ,West Bengal,641574.0,7549700,1852.9
Khesari,Rabi       ,West Bengal,25261.0,28460,1852.9
Linseed,Whole Year ,West Bengal,16486.0,4210,1852.9
Maize,Whole Year ,West Bengal,35469.0,130390,1852.9
Masoor,Rabi       ,West Bengal,51202.0,35040,1852.9
Mesta,Kharif     ,West Bengal,9689.0,89000,1852.9
Moong(Green Gram),Kharif     ,West Bengal,1490.0,711,1852.9
Moong(Green Gram),Rabi       ,West Bengal,3269.0,1710,1852.9
Moong(Green Gram),Summer     ,West Bengal,9959.0,303,1852.9
Niger seed,Rabi       ,West Bengal,50808100.0,38657300,1852.9
Niger seed,Whole Year ,West Bengal,6512.0,3522,1852.9
Other Kharif pulses,Kharif     ,West Bengal,1279.0,725,1852.9
Potato,Whole Year ,West Bengal,284015.0,5581553,1852.9
Ragi,Autumn     ,West Bengal,12607.0,15330,1852.9
Rapeseed &Mustard,Whole Year ,West Bengal,327123.0,250950,1852.9
Rice,Autumn     ,West Bengal,423121.0,751970,1852.9
Rice,Summer     ,West Bengal,1206829.0,3569520,1852.9
Rice,Winter     ,West Bengal,4270328.0,8915100,1852.9
Safflower,Whole Year ,West Bengal,10800.0,3000,1852.9
Sannhamp,Whole Year ,West Bengal,2015.0,9073,1852.9
Sesamum,Whole Year ,West Bengal,127913.0,88943,1852.9
Small millets,Whole Year ,West Bengal,5046.0,3222,1852.9
Soyabean,Kharif     ,West Bengal,1555.0,1172,1852.9
Sugarcane,Whole Year ,West Bengal,25797.0,1818700,1852.9
Sunflower,Whole Year ,West Bengal,278.0,1,1852.9
Turmeric,Whole Year ,West Bengal,12481.0,23556,1852.9
Urad,Kharif     ,West Bengal,69271.0,44480,1852.9
Urad,Rabi       ,West Bengal,16694.0,10553,1852.9
Wheat,Rabi       ,West Bengal,367374.0,810480,1852.9
Arecanut,Kharif     ,Puducherry,66.0,23,1434.5875
Bajra,Kharif     ,Puducherry,149.0,324,1434.5875
Black pepper,Kharif     ,Puducherry,12.0,7,1434.5875
Coriander,Kharif     ,Puducherry,2.0,1,1434.5875
Cotton(lint),Summer     ,Puducherry,453.0,372,1434.5875
Dry chillies,Kharif     ,Puducherry,8.0,23,1434.5875
Groundnut,Rabi       ,Puducherry,1046.0,2062,1434.5875
